"start_speed","pfx_x","pfx_z","x0","z0"
92.6,-11.13,4.54,-2.236,5.748
91.7,-9.76,7.75,-1.833,5.688
92.2,-11.29,7.39,-2.084,5.556
88.7,-2.54,1.45,-2.068,5.64
93.2,-8.58,7.42,-1.89,5.615
93.7,-11.75,5.26,-1.915,5.777
92.7,-9.25,5.26,-2.298,5.718
94.3,-7.67,7.11,-1.602,5.894
87.1,-1.61,0.6,-1.887,6.058
96.5,-8.65,7.42,-1.927,5.752
93.7,-9.28,7.16,-1.98,5.927
94.4,-7.78,9.59,-2.043,5.772
94.9,-6.95,9.33,-1.836,5.763
95,-8.58,7.26,-1.891,5.631
86.7,1.33,1.29,-1.917,5.833
96.6,-8.51,8.22,-1.82,5.741
88,-0.16,2.87,-1.704,5.682
86.1,1.67,1.25,-1.671,5.736
90,0.5,2.59,-1.884,5.648
96.4,-8.52,6.08,-1.875,5.604
86.7,0.28,-0.41,-1.71,5.671
97,-8.54,7.32,-1.763,5.424
96.4,-10.45,7.58,-1.95,5.343
85.3,-0.76,0.86,-2.053,6.001
94.6,-11.8,7.29,-1.979,5.805
94.2,-9.53,7.05,-1.99,5.91
95.5,-6.75,6.98,-2.247,5.647
97.3,-8.89,8.42,-1.95,5.871
95.3,-7.73,8.68,-2.051,5.598
87.4,-0.64,2.25,-1.788,5.787
92.9,10.29,0.29,1.639,5.314
100.3,2.64,10.08,1.72,5.513
99.7,2.79,7.12,1.533,5.619
99,4.01,8.77,1.744,5.691
99.5,6.13,7.98,1.98,5.087
82.3,-8.08,-6.07,2.043,5.539
99.3,3.44,8.26,1.721,5.369
100.7,2.12,8.87,1.404,5.416
100,3.58,8.36,1.377,5.478
91.2,7.76,2.37,1.693,5.166
91.2,6.86,2.51,1.918,5.258
100.6,5.07,7.73,1.433,5.561
98.4,1.92,8.51,2.001,5.506
89.3,8.64,1.4,2.007,5.217
99.6,3.82,7.37,1.892,5.506
100.6,3.27,8.19,1.296,5.477
100.9,3.56,8.52,1.17,5.374
88,1.24,1.34,-1.252,6.073
95.8,-5.59,7.51,-1.101,5.943
97,-6.88,7.5,-1.068,6.08
95.6,-6.54,7.49,-1.021,5.96
97,-5.49,5.72,-1.232,5.968
97.2,-6.98,8,-1.006,5.835
96.5,-6.02,8.51,-0.995,5.75
96,-4.65,9.09,-0.972,5.895
89.3,0.03,1.76,-1.096,5.778
96,-9.37,6.44,-1.163,5.709
95.3,-7.68,8.38,-0.87,5.751
95.4,-6.3,7.5,-1.004,5.894
95.3,-7.45,6.9,-1.088,5.654
94.6,-7.48,6.75,-1.208,5.66
96.8,-7.76,8.52,-1.038,5.597
97.1,-6.83,8,-0.981,5.591
87.2,-7.98,6.44,-0.062,5.498
89.2,-8.77,6.99,-0.027,5.615
88.3,-8.65,6.25,-1.058,5.784
88.1,-11.02,6.22,-1.086,5.704
78.4,-8.91,4.86,-0.625,5.538
83.8,-5.43,9.86,-0.855,5.578
88.6,-7.3,6.7,-0.755,5.628
89.4,-8.99,6.56,-0.831,5.516
80,-8.27,3.74,-0.657,5.528
88,-7.74,8.05,0.067,5.449
85.3,-0.58,3.69,1.981,5.735
82.6,-2.94,2.67,2.159,5.841
